readname	chr	start	end
SRR10612065.28636	chr4	181276309	181276419
SRR10612065.29198	chr1	155851843	155852171
SRR10612065.29394	chr2	230356619	230356733
SRR10612065.29487	chr5	761381	761473
SRR10612065.29611	chr3	68242131	68242506
SRR10612065.30269	chr12	57037234	57037366
SRR10612065.30330	chr8	91369039	91384628
SRR10612065.30372	chr2	230356653	230356746
SRR10612065.30430	chr2	166335761	166335897
SRR10612065.30452	chr3	171965321	171969333
SRR10612065.30488	chr4	72436652	72436804
SRR10612065.30727	chr9	37304208	37305609
SRR10612065.30864	chr4	52729601	52744020
SRR10612065.30900	chr2	24974977	24980990
SRR10612065.31000	chr17	29042297	29042521
SRR10612065.31017	chr14	100379967	100380093
SRR10612065.31022	chr2	38812906	38818770
SRR10612065.31115	chr9	33281294	33281431
SRR10612065.31121	chr9	130207185	130207401
SRR10612065.31306	chr2	115638666	115638798
SRR10612065.31634	chr1	44680490	44684347
SRR10612065.31892	chr14	76248827	76259443
SRR10612065.32463	chr2	168920041	168986110
SRR10612065.32758	chr9	21476895	21477293
SRR10612065.32820	chr14	51445736	51446038
SRR10612065.32878	chr10	70502143	70502326
SRR10612065.33469	chr4	52729601	52744020
SRR10612065.33617	chr6	111880849	111881020
SRR10612065.33704	chr19	17182272	17182482
SRR10612065.34143	chr1	70541758	70555498
SRR10612065.34292	chr4	68824620	68825145
SRR10612065.34578	chr2	230356650	230356744
SRR10612065.34580	chr2	230356619	230356738
SRR10612065.34739	chr5	72808653	72808753
SRR10612065.34805	chr2	91828572	91828676
SRR10612065.34904	chr2	230356619	230356733
SRR10612065.34943	chr2	230356635	230356748
SRR10612065.34958	chr13	67401714	67401907
SRR10612065.35263	chr14	50292584	50298080
SRR10612065.35264	chr7	26224231	26224459
SRR10612065.35378	chr15	64005005	64005782
SRR10612065.35753	chr8	105502692	105503034
SRR10612065.35772	chr6	1189423	1189875
SRR10612065.35812	chr1	86211153	86334519
SRR10612065.35836	chr13	80067794	80067895
SRR10612065.35882	chr5	147858264	147858489
SRR10612065.36021	chr2	230356641	230356750
SRR10612065.36616	chr7	71733934	71734161
SRR10612065.36762	chr7	145892400	145892646
SRR10612065.37050	chrX	148561782	148562138
SRR10612065.37308	chr13	101997617	102051518
SRR10612065.37341	chr11	61555255	61555449
SRR10612065.37385	chr8	71023220	71023580
SRR10612065.38261	chr3	39566302	39566508
SRR10612065.38295	chr1	240351541	240421330
SRR10612065.38501	chr8	38677899	38678108
SRR10612065.38642	chr2	230356640	230356743
SRR10612065.38782	chr7	5780604	5780736
SRR10612065.38974	chr1	19456804	19457489
SRR10612065.39597	chr7	111549188	111549315
SRR10612065.39925	chr11	110134840	110135551
SRR10612065.40139	chr11	70181740	70184559
SRR10612065.40170	chr5	95970342	95970526
SRR10612065.40203	chr2	218182777	218183900
SRR10612065.40305	chrX	102841930	102842152
SRR10612065.40387	chr3	116096270	116096525
SRR10612065.40562	chr8	18532852	18533056
SRR10612065.40607	chr6	82924361	82924505
SRR10612065.40824	chr15	73052747	73067281
SRR10612065.41118	chr2	91828572	91828676
SRR10612065.41266	chr20	48273115	48330276
SRR10612065.41924	chr7	2534013	2535106
SRR10612065.41930	chr2	230356655	230356748
SRR10612065.42282	chr6	107824858	107827631
SRR10612065.42311	chr14	101403738	101433068
SRR10612065.42432	chr8	145894970	145895157
SRR10612065.42573	chr14	50768741	50769659
SRR10612065.43030	chr8	95972739	95972902
SRR10612065.43170	chr3	55768803	55984484
SRR10612065.43208	chr2	230356619	230356734
SRR10612065.43223	chr9	87425610	87425826
SRR10612065.43446	chr16	2319236	2320925
SRR10612065.43761	chrX	102931306	102931502
SRR10612065.43816	chr15	89872891	89873017
SRR10612065.43846	chr9	98742005	98742110
SRR10612065.44090	chr16	7703864	7714964
SRR10612065.44091	chr8	61496766	61504512
SRR10612065.44095	chr7	77973095	77975362
SRR10612065.44097	chr1	155408120	155408676
SRR10612065.44133	chr3	57283466	57287738
SRR10612065.44141	chr3	65415411	65415693
SRR10612065.44395	chr1	53282234	53287184
SRR10612065.44481	chr6	70108816	70108979
SRR10612065.45033	chr20	33440194	33442421
SRR10612065.45929	chr11	99526689	99526782
SRR10612065.46916	chr9	5756904	5757056
SRR10612065.47275	chr3	118640351	118640739
SRR10612065.47307	chr9	90151385	90151496
SRR10612065.47514	chr4	52729601	52744020
SRR10612065.48271	chr3	55733475	55768825
SRR10612065.48339	chr4	52729601	52744020
SRR10612065.48366	chr9	87356805	87367002
SRR10612065.48600	chr1	213277794	213349836
SRR10612065.48818	chr2	174937039	174937256
SRR10612065.48828	chr7	152452806	152453057
SRR10612065.48939	chr1	28422668	28422805
SRR10612065.49009	chr3	115394960	115395078
SRR10612065.49125	chr3	167754624	167759264
SRR10612065.49189	chr6	85425453	85425558
SRR10612065.49388	chr13	79915256	79918909
SRR10612065.49494	chr5	134911428	134911738
SRR10612065.49606	chr5	32056443	32056606
SRR10612065.49843	chr17	4186093	4210419
SRR10612065.49915	chr2	126923550	126923730
SRR10612065.49946	chr3	173550920	173551164
SRR10612065.49977	chr2	197757092	197757969
SRR10612065.50655	chr7	45621488	45621568
SRR10612065.50784	chr10	202191	202335
SRR10612065.50842	chr20	16485146	16488637
SRR10612065.50923	chr11	70200407	70202359
SRR10612065.50994	chr10	5741550	5754488
SRR10612065.51005	chr10	46992798	46993119
SRR10612065.51473	chr5	150918813	150935619
SRR10612065.51543	chr22	36885129	36885316
SRR10612065.51561	chr2	211018578	211018954
SRR10612065.51806	chr17	55164329	55164527
SRR10612065.52901	chr14	20811274	20811380
SRR10612065.53048	chr3	106823725	106823942
SRR10612065.53179	chr12	109046048	109048190
SRR10612065.53193	chr19	1954513	1954646
SRR10612065.53223	chr2	40655613	40657442
SRR10612065.53376	chr20	35281457	35281870
SRR10612065.53699	chr5	142252965	142273913
SRR10612065.53740	chr3	6971308	6971539
SRR10612065.53840	chr16	81729245	81729374
SRR10612065.54024	chr12	83289595	83290425
SRR10612065.54261	chr7	153826060	153826408
SRR10612065.54358	chr5	132228001	132228805
SRR10612065.54511	chr2	230356649	230356747
SRR10612065.54571	chr9	34979139	34979277
SRR10612065.54658	chr9	19511618	19511834
SRR10612065.54739	chr6	135752396	135754247
SRR10612065.54813	chr8	142264088	142264729
SRR10612065.54839	chr9	98760587	98760710
SRR10612065.55044	chr20	30309119	30309414
SRR10612065.55048	chr5	140347033	140347177
SRR10612065.55255	chr18	19140896	19144216
SRR10612065.55602	chr3	183898882	183899608
SRR10612065.55635	chr2	230356655	230356746
SRR10612065.56906	chr2	230356648	230356748
SRR10612065.57079	chr11	106810196	106810761
SRR10612065.57286	chr2	230356646	230356748
SRR10612065.57975	chr11	46641775	46641990
SRR10612065.58084	chr6	147395941	147440610
SRR10612065.58352	chr2	136505836	136528307
SRR10612065.58499	chr7	32613310	32613597
SRR10612065.58676	chr11	73850193	73850476
SRR10612065.58683	chr1	26595103	26596085
SRR10612065.58700	chr19	2043181	2046280
SRR10612065.58717	chr2	230356642	230356747
SRR10612065.58764	chr4	148778704	148800490
SRR10612065.58788	chr1	163281622	163281813
SRR10612065.58897	chr17	79096227	79096491
SRR10612065.59296	chr2	141906992	141907219
SRR10612065.59319	chr10	70666511	70666601
SRR10612065.59719	chr3	42075038	42075195
SRR10612065.59819	chr17	3379423	3397753
SRR10612065.59855	chr17	25867795	25868320
SRR10612065.60144	chr2	230356642	230356747
SRR10612065.60212	chr7	77775507	77775639
SRR10612065.60513	chr2	230356619	230356750
SRR10612065.61080	chr9	37305631	37349442
SRR10612065.61437	chr2	230356644	230356747
SRR10612065.61441	chr6	80776204	80776303
SRR10612065.61723	chr15	66030073	66030277
SRR10612065.61935	chr22	19001150	19001346
SRR10612065.62385	chr10	128192525	128202510
SRR10612065.63309	chr1	109547291	109554078
SRR10612065.63532	chr2	72945421	72958365
SRR10612065.63554	chr3	71348971	71542708
SRR10612065.63934	chr1	21071237	21071468
SRR10612065.64202	chr4	38091570	38097642
SRR10612065.64271	chr4	52729601	52744020
SRR10612065.64315	chr6	69723928	69759238
SRR10612065.64344	chr8	77706977	77707167
SRR10612065.64377	chr2	122332431	122332760
SRR10612065.64453	chr2	230356646	230356746
SRR10612065.64691	chr14	86072044	86072226
SRR10612065.64861	chr1	567163	567309
SRR10612065.64898	chr15	40005645	40057948
SRR10612065.65197	chr3	25639807	25646362
SRR10612065.65644	chr13	35615068	35633000
SRR10612065.65852	chr3	57832922	57850443
SRR10612065.65953	chr2	122514816	122519101
SRR10612065.66273	chr9	123614371	123614613
SRR10612065.66349	chr12	64588060	64588341
SRR10612065.66630	chr3	132806341	132806459
SRR10612065.66804	chr9	138774394	138774520
SRR10612065.67118	chr14	64065474	64066692
SRR10612065.67232	chr7	73641755	73642160
SRR10612065.67353	chr7	122024615	122024776
SRR10612065.67404	chr7	22306583	22357657
SRR10612065.67415	chr2	230356619	230356726
SRR10612065.67467	chr15	45432566	45433015
SRR10612065.67569	chr15	83511071	83512063
SRR10612065.67612	chr2	230356619	230356734
SRR10612065.67701	chr3	65595418	65607766
SRR10612065.67970	chr7	140476709	140508783
SRR10612065.68012	chr11	118916062	118916189
SRR10612065.68402	chr1	155408625	155408868
SRR10612065.68761	chr17	30321700	30322723
SRR10612065.69310	chrX	74965392	74965911
SRR10612065.69390	chr3	119219541	119236160
SRR10612065.69414	chr17	9843443	9850301
SRR10612065.69554	chr9	122113481	122113566
SRR10612065.69673	chr7	5942297	5944865
SRR10612065.69700	chr13	79915256	79918929
SRR10612065.69817	chr14	20811234	20811367
SRR10612065.70088	chr10	75302560	75302900
SRR10612065.70216	chr4	52729603	52758017
SRR10612065.70409	chr22	36374283	36374395
SRR10612065.71021	chr1	35824526	35827392
SRR10612065.71042	chr5	175308264	175308368
SRR10612065.71160	chr11	65268998	65269258
SRR10612065.71371	chr9	138337418	138337571
SRR10612065.71478	chr11	112938063	112938246
SRR10612065.71552	chr20	34638091	34638496
SRR10612065.71703	chr2	230356622	230356748
SRR10612065.71724	chr3	182733061	182733346
SRR10612065.72312	chr7	32112723	32112897
SRR10612065.72415	chr1	180031353	180053314
SRR10612065.72722	chr6	33176329	33176678
SRR10612065.72906	chr3	129599152	129599336
SRR10612065.72907	chr14	72075581	72075820
SRR10612065.72927	chr1	89317132	89317478
SRR10612065.73010	chr17	45016710	45016820
SRR10612065.73190	chr12	53888611	53888837
SRR10612065.73861	chr2	9467954	9499018
SRR10612065.73943	chr18	32335940	32374214
SRR10612065.74042	chr14	42133331	42133516
SRR10612065.74401	chr1	243504339	243589860
SRR10612065.74503	chr7	77973151	77975334
SRR10612065.74869	chrX	72745185	72745876
SRR10612065.75250	chr15	23338853	23339030
SRR10612065.75333	chr12	88912503	88926265
SRR10612065.75716	chr6	107824877	107827496
SRR10612065.76064	chr17	35800606	35822226
SRR10612065.76540	chr20	21319680	21324847
SRR10612065.77045	chr11	18305341	18306925
SRR10612065.77280	chr3	98234794	98235022
SRR10612065.77459	chr7	33765437	33765611
SRR10612065.77596	chr2	230356647	230356747
SRR10612065.77677	chrX	128440922	128441246
SRR10612065.78061	chr4	88116476	88116844
SRR10612065.78209	chr16	85650137	85650340
SRR10612065.78724	chr1	180953813	180974600
SRR10612065.78779	chr22	38881143	38881772
SRR10612065.79161	chr14	104219336	104220583
SRR10612065.79233	chr18	74692382	74696842
SRR10612065.79255	chr2	230356648	230356745
SRR10612065.79338	chr7	105543595	105543789
SRR10612065.79340	chr7	92090664	92120596
SRR10612065.79425	chr8	101232505	101243517
SRR10612065.79512	chr10	7839010	7844817
SRR10612065.79809	chr11	65268760	65268981
SRR10612065.80277	chr1	24796194	24796397
SRR10612065.80389	chr2	230356642	230356746
SRR10612065.80541	chr19	42486061	42486206
SRR10612065.80556	chr2	230356619	230356732
SRR10612065.80886	chr8	142264088	142264729
SRR10612065.81371	chrX	123630983	123637447
SRR10612065.81406	chr10	86177524	86198449
SRR10612065.81826	chr7	91924202	91981956
SRR10612065.82262	chr1	144918916	144921887
SRR10612065.82411	chr7	132135478	132136094
SRR10612065.82473	chr2	230356641	230356747
SRR10612065.82745	chr2	230356616	230356747
SRR10612065.82873	chr11	129106915	129107145
SRR10612065.83008	chrX	146048409	146048548
SRR10612065.83104	chr20	47901757	47902391
SRR10612065.83317	chr6	99924020	99958106
SRR10612065.83324	chr1	21268164	21268319
SRR10612065.83461	chr2	100898160	100898262
SRR10612065.84249	chr2	230356640	230356747
SRR10612065.84700	chr16	10013422	10013640
SRR10612065.85686	chr11	86778741	86782627
SRR10612065.85795	chr15	41988434	41988551
SRR10612065.85979	chr5	36955595	36955717
SRR10612065.86037	chr2	230356616	230356731
SRR10612065.86212	chr10	126662226	126670299
SRR10612065.86257	chr7	88490092	88490190
SRR10612065.86355	chr2	230356640	230356747
SRR10612065.86840	chr2	230356622	230356748
SRR10612065.86856	chr2	230356616	230356747
SRR10612065.86915	chrX	103043401	103045480
SRR10612065.87007	chr6	83788114	83788274
SRR10612065.87044	chr17	55164334	55164524
SRR10612065.87087	chr13	77799607	77818024
SRR10612065.87187	chr12	57961346	57963188
SRR10612065.87587	chr6	17604430	17604610
SRR10612065.87743	chr2	230356620	230356723
SRR10612065.88193	chr11	65268709	65269044
SRR10612065.88309	chr7	140421247	140421358
SRR10612065.88835	chr3	101559271	101559433
SRR10612065.89013	chr2	17836689	17836942
SRR10612065.89097	chr4	52729614	52744014
SRR10612065.89477	chr8	62527340	62528148
SRR10612065.89582	chr8	65695403	65695559
SRR10612065.89618	chrX	79990662	79991556
SRR10612065.89959	chr9	131700540	131700700
SRR10612065.90029	chr7	18687485	18688134
SRR10612065.90061	chr5	70030505	70030647
SRR10612065.90522	chr2	230356644	230356746
SRR10612065.90622	chrX	149878297	149878495
SRR10612065.90761	chr1	40146123	40146320
SRR10612065.90981	chr16	24104110	24135302
SRR10612065.91193	chr2	230356642	230356747
SRR10612065.91606	chr20	57013999	57016139
SRR10612065.91721	chr14	102547644	102548159
SRR10612065.91781	chr2	230356646	230356748
SRR10612065.91818	chr12	53421666	53421925
SRR10612065.91956	chr1	230456427	230456701
SRR10612065.92095	chr2	204302216	204302362
SRR10612065.92253	chr4	16894402	16894621
SRR10612065.92281	chrX	101382162	101382392
SRR10612065.92886	chrX	103041475	103042747
SRR10612065.93416	chr5	138205091	138205267
SRR10612065.93740	chr22	30374505	30387643
SRR10612065.93976	chr11	92891720	92891965
SRR10612065.94279	chr18	52932423	52932688
SRR10612065.94285	chr7	66193451	66193595
SRR10612065.94323	chr5	70238318	70238676
SRR10612065.94372	chrX	153670069	153671239
SRR10612065.94386	chr10	123549678	123683847
SRR10612065.94469	chr2	230356619	230356726
SRR10612065.94609	chr11	65268938	65269121
SRR10612065.94753	chr9	122113455	122113550
SRR10612065.94793	chr1	51871707	51873911
SRR10612065.95203	chr14	105277017	105277437
SRR10612065.95440	chr2	170411634	170413810
SRR10612065.95724	chr10	96260039	96269891
SRR10612065.95878	chr20	33057881	33077669
SRR10612065.95884	chr7	96588459	96588629
SRR10612065.95885	chr4	52729601	52744020
SRR10612065.95989	chr12	124498357	124498574
SRR10612065.96111	chr2	230356645	230356746
SRR10612065.96137	chr6	2890837	2890965
SRR10612065.96144	chr2	210288905	210517940
SRR10612065.96204	chr10	51629984	51648990
SRR10612065.96443	chr2	230356642	230356746
SRR10612065.96949	chr6	69689700	69690454
SRR10612065.96978	chr8	102226307	102279189
SRR10612065.97169	chr4	128627873	128632239
SRR10612065.97367	chr2	230356640	230356749
SRR10612065.97419	chr13	102791808	102791946
SRR10612065.97605	chr3	115934015	115934229
SRR10612065.98051	chr14	78285070	78285285
SRR10612065.98188	chrX	135955755	135956330
SRR10612065.98294	chr1	176104151	176132038
SRR10612065.98315	chr12	62926283	62928669
SRR10612065.98566	chr2	40467229	40467492
SRR10612065.98619	chr10	24921174	24921415
SRR10612065.98951	chr2	230356641	230356739
SRR10612065.99388	chr2	71577008	71577209
SRR10612065.99451	chr6	73005647	73043538
SRR10612065.99778	chr9	103261046	103275616
SRR10612065.99996	chr15	75953400	75953611
SRR10612065.100374	chr3	120760546	120876474
SRR10612065.100689	chr13	40268771	40301687
SRR10612065.100717	chr9	8565858	8565984
SRR10612065.100718	chr9	87577625	87577982
SRR10612065.101109	chr15	51828731	51828920
SRR10612065.101334	chr2	166335762	166335889
SRR10612065.101828	chr10	102685215	102689604
SRR10612065.101881	chr1	246628250	246628475
SRR10612065.102062	chr6	106643793	106644028
SRR10612065.102093	chr10	83705161	83705298
SRR10612065.102220	chr5	35751747	35751905
SRR10612065.102471	chr12	125510354	125510485
SRR10612065.102636	chr11	40307163	40307379
SRR10612065.102896	chr3	130947372	130992418
SRR10612065.102980	chr2	91828572	91828676
SRR10612065.103345	chr8	10690401	10692258
SRR10612065.103531	chr1	241408408	241408495
SRR10612065.103879	chr7	122024575	122024753
SRR10612065.104055	chr13	103459799	103459923
SRR10612065.104212	chr18	12999427	12999530
SRR10612065.104224	chr3	156252710	156252931
SRR10612065.104303	chr12	131289588	131289758
SRR10612065.104494	chr8	142264435	142264551
SRR10612065.104530	chr1	40654725	40668286
SRR10612065.105038	chr5	153157178	153158127
SRR10612065.105640	chr7	91957095	91957225
SRR10612065.105858	chrX	41007780	41010272
SRR10612065.106230	chr9	10351543	10416470
SRR10612065.106325	chr7	107878771	107878985
SRR10612065.107174	chr6	42980734	42980936
SRR10612065.107378	chr2	230356646	230356747
SRR10612065.107442	chr7	157655230	157655392
SRR10612065.107472	chr4	52729601	52744020
SRR10612065.107776	chr4	170506598	170508766
SRR10612065.107984	chr5	79965924	79966082
SRR10612065.108457	chr8	142264171	142264348
SRR10612065.108617	chr12	64813887	64813983
SRR10612065.108703	chr2	214174780	214215370
SRR10612065.108839	chr6	146185524	146216113
SRR10612065.109173	chr13	67512661	67512835
SRR10612065.109705	chr2	230356616	230356726
SRR10612065.109788	chr10	25468492	25468637
SRR10612065.110018	chr1	155307880	155314057
SRR10612065.110056	chr12	49436603	49437190
SRR10612065.110285	chr4	183245097	183245405
SRR10612065.110529	chr22	39262730	39262861
SRR10612065.110889	chr15	22869912	22877971
SRR10612065.111136	chr4	103717823	103718329
SRR10612065.111425	chr4	52729601	52744020
SRR10612065.111502	chr5	67984884	67985065
SRR10612065.111998	chr2	230356629	230356744
SRR10612065.112122	chr2	217538252	217538525
SRR10612065.112207	chr9	39158953	39159078
SRR10612065.112453	chr2	24952538	24952681
SRR10612065.112477	chr9	133572986	133573122
SRR10612065.112574	chr8	144917279	144917458
SRR10612065.112912	chrX	36942006	36942135
SRR10612065.113063	chr1	171553328	171553463
SRR10612065.113145	chr8	124511539	124511657
SRR10612065.113155	chr2	230356648	230356746
SRR10612065.113678	chr2	91828556	91828689
SRR10612065.114238	chr21	37727282	37727436
SRR10612065.114410	chr14	55203911	55218256
SRR10612065.114582	chr5	50045987	50056163
SRR10612065.114775	chr13	45582979	45589680
SRR10612065.114829	chr8	125463844	125463944
SRR10612065.115094	chr1	144902932	144903080
SRR10612065.115190	chr17	48144732	48144908
SRR10612065.115226	chr4	187518169	187518288
SRR10612065.115444	chr7	99805314	99805455
SRR10612065.115492	chr2	230356616	230356733
SRR10612065.115523	chr2	230356644	230356747
SRR10612065.115650	chr14	52936779	52937347
SRR10612065.116519	chr14	77803353	77803733
SRR10612065.117297	chr12	82087488	82090106
SRR10612065.117422	chr2	40656758	40656924
SRR10612065.117659	chr16	2378641	2379679
SRR10612065.118075	chr14	90867702	90870747
SRR10612065.118090	chr10	93789854	93790079
SRR10612065.118116	chr6	160430086	160431743
SRR10612065.118219	chr14	58690341	58690574
SRR10612065.118595	chr5	149209932	149210051
SRR10612065.118725	chr7	24677213	24678444
SRR10612065.119172	chr4	52729601	52744020
SRR10612065.119406	chr8	75156763	75157413
SRR10612065.119848	chr14	40124127	40124841
SRR10612065.119903	chrX	15391881	15392057
SRR10612065.120153	chr2	230356619	230356726
SRR10612065.120157	chr2	109413330	109413472
SRR10612065.120207	chr4	52729601	52744020
SRR10612065.120410	chr11	65268963	65269187
SRR10612065.120431	chr15	41596129	41596490
SRR10612065.120518	chr16	18827707	18827851
SRR10612065.120730	chr16	15528453	15609212
SRR10612065.120760	chr6	110940833	110940952
SRR10612065.120815	chr10	69699350	69700856
SRR10612065.121228	chr2	230356643	230356746
SRR10612065.121319	chr2	1920996	1926595
SRR10612065.121564	chr5	166949477	166949610
SRR10612065.121605	chr5	95091097	95124562
SRR10612065.121648	chr1	32501343	32501450
SRR10612065.121667	chr2	40366541	40392127
SRR10612065.121744	chr15	60841327	60841460
SRR10612065.122138	chr8	48508372	48511759
SRR10612065.122234	chr12	27876978	27877087
SRR10612065.122317	chr15	65773853	65782637
SRR10612065.122474	chr2	58425728	58459250
SRR10612065.122795	chr1	8601326	8616632
SRR10612065.123597	chr1	51204535	51429351
SRR10612065.123687	chr2	210559618	210560218
SRR10612065.123789	chr21	22507742	22508138
SRR10612065.123846	chr6	114266556	114267280
SRR10612065.124012	chr1	99418671	99418828
SRR10612065.124843	chr9	72831199	72834839
SRR10612065.125056	chr9	129918904	129919012
SRR10612065.125206	chr5	175495549	175495824
