readname	chr	start	end
SRR10612066.23620	chr3	52368190	52368425
SRR10612066.23711	chr7	16624404	16624560
SRR10612066.23834	chr11	36099018	36099407
SRR10612066.23836	chr11	71939466	71939837
SRR10612066.23845	chr5	179053734	179053903
SRR10612066.23899	chr2	44810358	44810678
SRR10612066.23941	chr14	71570157	71572045
SRR10612066.24018	chr3	49911484	49911634
SRR10612066.24506	chr3	10016068	10016173
SRR10612066.24561	chr5	137320946	137323254
SRR10612066.24565	chr12	111874664	111874863
SRR10612066.24586	chr21	44918633	44918718
SRR10612066.24731	chr2	97795893	97796088
SRR10612066.24776	chr14	20811230	20811356
SRR10612066.24798	chr14	20811234	20811346
SRR10612066.24814	chr14	50320455	50329574
SRR10612066.24820	chr12	53903472	53903631
SRR10612066.24868	chr1	8479173	8479338
SRR10612066.24878	chr10	88572528	88572634
SRR10612066.24977	chr21	10985741	10985893
SRR10612066.24994	chr17	19485436	19491775
SRR10612066.25181	chr17	63739190	63746807
SRR10612066.25391	chr1	165712404	165723514
SRR10612066.25436	chr3	110791247	110830936
SRR10612066.25606	chr14	50320389	50329414
SRR10612066.25631	chr14	72055783	72055986
SRR10612066.25710	chr1	53015192	53015405
SRR10612066.25721	chr21	46655290	46655427
SRR10612066.26054	chr7	72496270	72524411
SRR10612066.26114	chr12	72021531	72021693
SRR10612066.26136	chr2	232654443	232654904
SRR10612066.26156	chr14	50320494	50329547
SRR10612066.26214	chr9	11601038	11601146
SRR10612066.26230	chr13	76329976	76330124
SRR10612066.26271	chr14	20811293	20811405
SRR10612066.26403	chr13	51516022	51517478
SRR10612066.26503	chr1	6636846	6637070
SRR10612066.26676	chr7	31669284	31669405
SRR10612066.26733	chr14	50320400	50329428
SRR10612066.26817	chr8	71755985	71756198
SRR10612066.26946	chr17	36508179	36508667
SRR10612066.26982	chr10	22746330	22746430
SRR10612066.27046	chr2	230356616	230359758
SRR10612066.27048	chr4	4327628	4327766
SRR10612066.27096	chr3	52725162	52725484
SRR10612066.27196	chr11	73239165	73239317
SRR10612066.27210	chr2	129207974	129208141
SRR10612066.27377	chr3	41954358	41973397
SRR10612066.27388	chr13	61034543	61041428
SRR10612066.27529	chr14	20811246	20811472
SRR10612066.27638	chr2	135075098	135076310
SRR10612066.27866	chr16	50349471	50349561
SRR10612066.27961	chr15	58215472	58215961
SRR10612066.27983	chr6	41555743	41555858
SRR10612066.27995	chr11	528752	529020
SRR10612066.27999	chr22	45986865	45987013
SRR10612066.28006	chr7	126347372	126347601
SRR10612066.28118	chr10	96929339	96929677
SRR10612066.28139	chr5	28092832	28092997
SRR10612066.28281	chr9	139873568	139873712
SRR10612066.28332	chr10	76878654	76878980
SRR10612066.28356	chr14	50320493	50329547
SRR10612066.28458	chr2	160604316	160604685
SRR10612066.28464	chr16	66675693	66676056
SRR10612066.28475	chr4	164394457	164394623
SRR10612066.28535	chr1	23846003	23846230
SRR10612066.28554	chr3	101175475	101176042
SRR10612066.28626	chr16	4410981	4411212
SRR10612066.28668	chr14	20811297	20811436
SRR10612066.28774	chr7	20206679	20206898
SRR10612066.28794	chr12	57605748	57606240
SRR10612066.28849	chr19	35084597	35084793
SRR10612066.29133	chr14	50320504	50329544
SRR10612066.29272	chr11	65268543	65269313
SRR10612066.29317	chr9	125884503	125895165
SRR10612066.29379	chr13	31922131	31923109
SRR10612066.29415	chr2	44436118	44436315
SRR10612066.29418	chr13	45956031	45958140
SRR10612066.29420	chr12	85821764	85822484
SRR10612066.29442	chr6	97640002	97640291
SRR10612066.29456	chr17	1399486	1399612
SRR10612066.29472	chr2	63787243	63787461
SRR10612066.29536	chr14	50320396	50329428
SRR10612066.29611	chr12	132601618	132601847
SRR10612066.29615	chr6	105280969	105291169
SRR10612066.29860	chr7	87339926	87370886
SRR10612066.30097	chr3	49302410	49302809
SRR10612066.30130	chr20	45915988	45920604
SRR10612066.30242	chr10	81279973	81280066
SRR10612066.30374	chr4	594505	594816
SRR10612066.30443	chr17	74090632	74093941
SRR10612066.30520	chr22	30765673	30766008
SRR10612066.30738	chr17	38137228	38140574
SRR10612066.30758	chr1	9649532	9656064
SRR10612066.30784	chr4	98560655	98560873
SRR10612066.30836	chr14	20811265	20811445
SRR10612066.31039	chr3	48660006	48660481
SRR10612066.31045	chr6	73023279	73043384
SRR10612066.31117	chr17	5323168	5323325
SRR10612066.31386	chr2	230356616	230359757
SRR10612066.31423	chr3	188290817	188291212
SRR10612066.31493	chr9	140762466	140770074
SRR10612066.31496	chr9	82482989	82483223
SRR10612066.31683	chr20	5438721	5439013
SRR10612066.31737	chr3	113615835	113616206
SRR10612066.31882	chr4	12732982	12736192
SRR10612066.31918	chr14	20811230	20811346
SRR10612066.32049	chr12	88890481	88890665
SRR10612066.32366	chr8	103939689	103954279
SRR10612066.32371	chr12	89752446	89752613
SRR10612066.32453	chr2	217390938	217391166
SRR10612066.32777	chr5	176370336	176378583
SRR10612066.32828	chr1	41651257	41651365
SRR10612066.32900	chr5	140303061	140303258
SRR10612066.32940	chr13	96485215	96506645
SRR10612066.32984	chr2	230356616	230359758
SRR10612066.33066	chr11	62295134	62295799
SRR10612066.33184	chr11	72003402	72003523
SRR10612066.33339	chr1	172520723	172539865
SRR10612066.33507	chr15	64722653	64722800
SRR10612066.33518	chr20	31035675	31035848
SRR10612066.33531	chr14	20811244	20811346
SRR10612066.33579	chr5	134681154	134681268
SRR10612066.33581	chr11	118622671	118622788
SRR10612066.33640	chr8	43092785	43093008
SRR10612066.33675	chr1	33413617	33413803
SRR10612066.33691	chr22	50860690	50860790
SRR10612066.33726	chr1	244715761	244715844
SRR10612066.33753	chr2	230356616	230356747
SRR10612066.33775	chr5	107582738	107582942
SRR10612066.33807	chr6	33842714	33842795
SRR10612066.33834	chr15	93354951	93355188
SRR10612066.33885	chr22	39866370	39866603
SRR10612066.34119	chr10	27226198	27230682
SRR10612066.34133	chr1	92874531	92874716
SRR10612066.34176	chr22	20921055	20922918
SRR10612066.34250	chr17	2289472	2289643
SRR10612066.34371	chr5	172194599	172194710
SRR10612066.34420	chr7	49940751	49958552
SRR10612066.34624	chr8	37553312	37553429
SRR10612066.34640	chr2	202430543	202436731
SRR10612066.34728	chr2	61474080	61474547
SRR10612066.34754	chr1	220251069	220251173
SRR10612066.34911	chr3	169890393	169896630
SRR10612066.35332	chr8	29848811	29849133
SRR10612066.35448	chr14	50320516	50329514
SRR10612066.35644	chr11	108163492	108164124
SRR10612066.35695	chr5	70281370	70407506
SRR10612066.35707	chr12	77031467	77031634
SRR10612066.35820	chr8	54662979	54663560
SRR10612066.36014	chr3	52455659	52455770
SRR10612066.36176	chr19	4117416	4117629
SRR10612066.36258	chr8	43093861	43095312
SRR10612066.36368	chr2	95428407	95428496
SRR10612066.36385	chr14	20811264	20811431
SRR10612066.36431	chr4	135562794	135562931
SRR10612066.36445	chr19	5604647	5604873
SRR10612066.36446	chr11	93984374	93984504
SRR10612066.36643	chr2	85040269	85040468
SRR10612066.36676	chr16	87351147	87351307
SRR10612066.36711	chr3	136206927	136207095
SRR10612066.36721	chr19	38847381	38847508
SRR10612066.36731	chr12	97045367	97051696
SRR10612066.36849	chr12	59152534	59152684
SRR10612066.36893	chr15	24573372	24780955
SRR10612066.36984	chr14	50320369	50329428
SRR10612066.36989	chr10	48816703	48816812
SRR10612066.37011	chr6	78300419	78300747
SRR10612066.37187	chr2	230356619	230356728
SRR10612066.37295	chr15	80370728	80370967
SRR10612066.37487	chr14	50320494	50329547
SRR10612066.37532	chr11	114683758	114683954
SRR10612066.37554	chr17	47390102	47394975
SRR10612066.37606	chr11	93144301	93144405
SRR10612066.37619	chr12	46246183	46246426
SRR10612066.37744	chr11	4142209	4142456
SRR10612066.37816	chr1	23376904	23376996
SRR10612066.37831	chr19	12010442	12045063
SRR10612066.37898	chr8	67506119	67506313
SRR10612066.37935	chr1	41536267	41618416
SRR10612066.38057	chr10	17727608	17727906
SRR10612066.38098	chr2	111437308	111437485
SRR10612066.38114	chr14	50320420	50329480
SRR10612066.38131	chr1	53792546	53793641
SRR10612066.38196	chr1	53929917	53930138
SRR10612066.38266	chr11	10581700	10581909
SRR10612066.38335	chr9	139720617	139720737
SRR10612066.38358	chr6	25727143	25727263
SRR10612066.38389	chr14	35062252	35072612
SRR10612066.38548	chr2	235161725	235161918
SRR10612066.38615	chr14	71884799	71996089
SRR10612066.38747	chr14	20811265	20811455
SRR10612066.38856	chr10	133756591	133756745
SRR10612066.38981	chr14	20811240	20811337
SRR10612066.39026	chr15	24390511	24754064
SRR10612066.39131	chr10	22746328	22746418
SRR10612066.39340	chr8	23537244	23537406
SRR10612066.39352	chr3	138667202	138667377
SRR10612066.39354	chr10	3869690	3869956
SRR10612066.39473	chr15	91256398	91258275
SRR10612066.39562	chr11	116719319	116719542
SRR10612066.39569	chr2	211352479	211352686
SRR10612066.39658	chr6	129827783	129828056
SRR10612066.39724	chr14	20811234	20811367
SRR10612066.39835	chr12	862683	862896
SRR10612066.39840	chr1	74540347	74549900
SRR10612066.39873	chr14	19682456	19893012
SRR10612066.39883	chr11	7023131	7023413
SRR10612066.40081	chr2	85767066	85767564
SRR10612066.40303	chr6	26632779	26633037
SRR10612066.40307	chr9	128448359	128469461
SRR10612066.40424	chr14	20811283	20811493
SRR10612066.40442	chr3	56669421	56669695
SRR10612066.40506	chr2	95824558	95824676
SRR10612066.40513	chr14	86542318	86564133
SRR10612066.40522	chr2	99229788	99230452
SRR10612066.40539	chr14	50320493	50329547
SRR10612066.40634	chrX	96253970	96254264
SRR10612066.40696	chr22	18685348	18686447
SRR10612066.40743	chr6	34557656	34557793
SRR10612066.40783	chr5	120395120	120395282
SRR10612066.40784	chrX	54984949	54985276
SRR10612066.40826	chr17	11757618	11774939
SRR10612066.41182	chr14	50320494	50329547
SRR10612066.41186	chr2	210582601	210582776
SRR10612066.41280	chr20	49524282	49524389
SRR10612066.41292	chr14	50320494	50329547
SRR10612066.41423	chr3	12114900	12115054
SRR10612066.41451	chr22	21221882	21222072
SRR10612066.41508	chr2	130804784	130804908
SRR10612066.41600	chr1	15377233	15377495
SRR10612066.41604	chr6	78300489	78300732
SRR10612066.41656	chr19	12187334	12575329
SRR10612066.41693	chr1	46348040	46425118
SRR10612066.41708	chr8	43094982	43096198
SRR10612066.41887	chr3	36422206	36426432
SRR10612066.42044	chr17	80485975	80486199
SRR10612066.42077	chr19	3195060	3195255
SRR10612066.42108	chr2	241499775	241499880
SRR10612066.42139	chr14	50320484	50329456
SRR10612066.42233	chr14	20811230	20811379
SRR10612066.42273	chr3	128448533	128448626
SRR10612066.42350	chr12	107106591	107106980
SRR10612066.42421	chr14	20811242	20811446
SRR10612066.42463	chr6	81110622	81111117
SRR10612066.42480	chr16	4164238	4164396
SRR10612066.42518	chr1	26576279	26576488
SRR10612066.42747	chr3	148991919	148992050
SRR10612066.42769	chr14	20811236	20811346
SRR10612066.42920	chr6	24502756	24523152
SRR10612066.42922	chr8	38429635	38429811
SRR10612066.42981	chr22	38541212	38541381
SRR10612066.43001	chr13	31941793	31941904
SRR10612066.43038	chr14	20811240	20811351
SRR10612066.43232	chr9	131718632	131721129
SRR10612066.43236	chr9	100127966	100128928
SRR10612066.43248	chr12	79888456	79888684
SRR10612066.43301	chr9	6331395	6331491
SRR10612066.43330	chr19	38848702	38849116
SRR10612066.43459	chr1	217623012	217623120
SRR10612066.43507	chr6	151570664	151570807
SRR10612066.43784	chr11	26340423	26402888
SRR10612066.43865	chr7	44737489	44737646
SRR10612066.43971	chr1	75043243	75043621
SRR10612066.44017	chr8	19695819	19696124
SRR10612066.44080	chr3	148709317	148712064
SRR10612066.44119	chr19	16144582	16144798
SRR10612066.44185	chr1	39722536	39722660
SRR10612066.44250	chr12	57000112	57000416
SRR10612066.44316	chr10	97754854	97756040
SRR10612066.44317	chr14	70918898	70991460
SRR10612066.44649	chr11	50368217	50404042
SRR10612066.44653	chr9	124064240	124064330
SRR10612066.44690	chr19	2247605	2247918
SRR10612066.44693	chr3	9026825	9027166
SRR10612066.44854	chr6	86330295	86330558
SRR10612066.44921	chr17	18950280	18954637
SRR10612066.44941	chr4	49564015	49591526
SRR10612066.44947	chr12	109046048	109048190
SRR10612066.44963	chr2	89086161	89088030
SRR10612066.45118	chr2	72661603	72661860
SRR10612066.45292	chr15	24404091	24584910
SRR10612066.45341	chr14	50320478	50329547
SRR10612066.45347	chr22	35645583	35645823
SRR10612066.45366	chr18	47113169	47117010
SRR10612066.45385	chr14	20811231	20811346
SRR10612066.45390	chr6	160461625	160464241
SRR10612066.45424	chr14	50320494	50329547
SRR10612066.45443	chr19	36792888	36796103
SRR10612066.45457	chr14	50320494	50329547
SRR10612066.45726	chr7	76315504	76315849
SRR10612066.45763	chr14	20811264	20811477
SRR10612066.45780	chr12	69318888	69319023
SRR10612066.45870	chr16	19627451	19637547
SRR10612066.45901	chr3	57864030	57864220
SRR10612066.45902	chr19	21525160	21598972
SRR10612066.45944	chr14	50320401	50329538
SRR10612066.45966	chr14	99919545	99919708
SRR10612066.46034	chr14	20811255	20811365
SRR10612066.46050	chr12	64017819	64055261
SRR10612066.46083	chr18	14870111	14870564
SRR10612066.46139	chr9	131767583	131767683
SRR10612066.46210	chr20	32847041	32847273
SRR10612066.46269	chr9	139940522	139940955
SRR10612066.46430	chr9	34267661	34267794
SRR10612066.46480	chr14	50320409	50329549
SRR10612066.46546	chr3	8433855	8434049
SRR10612066.46555	chr4	143273522	143273940
SRR10612066.47270	chr3	10049211	10050163
SRR10612066.47271	chr3	9874198	9874394
SRR10612066.47392	chr20	5071192	5071367
SRR10612066.47424	chr1	120572529	120594393
SRR10612066.47480	chr16	75366770	75366872
SRR10612066.47506	chr11	18566882	18566970
SRR10612066.47509	chr12	108143260	108143455
