readnames	chr	start	end	count
SRR10612066.543350	chr10	120827628	120827797	1
SRR10612066.543508_SRR10612066.6043495	chr1	149822857	149858810	2
SRR10612066.543614	chr19	37784738	37792482	1
SRR10612066.543650	chr11	33691309	33691498	1
SRR10612066.543688	chr17	79963167	79963434	1
SRR10612066.543944	chr6	147637364	147646179	1
SRR10612066.544036	chr15	85409385	85409546	1
SRR10612066.544052	chr6	43143270	43143585	1
SRR10612066.544107	chr20	14798042	14798211	1
SRR10612066.544133	chr5	115802798	115803138	1
SRR10612066.544146	chr3	155233773	155233902	1
SRR10612066.544199	chr2	110363600	110363717	1
SRR10612066.544390	chr21	32492110	32492267	1
SRR10612066.544473	chr6	19385911	19386067	1
SRR10612066.544489_SRR10612066.3026071	chr1	162563324	162565827	2
SRR10612066.544541	chr12	14648843	14648988	1
SRR10612066.544677_SRR10612066.1500142	chr7	102192589	102291759	2
SRR10612066.544742	chr7	69837689	69837843	1
SRR10612066.544787_SRR10612066.2495083	chr6	78300584	78300953	2
SRR10612066.544915	chr1	46031990	46032694	1
SRR10612066.544940	chr18	13814153	13814332	1
SRR10612066.545019	chr7	143646468	143652196	1
SRR10612066.545036	chr7	22190025	22206767	1
SRR10612066.545173_SRR10612066.2928718_SRR10612066.4830399_SRR10612066.5295063_SRR10612066.6518685	chr16	47536907	47545650	5
SRR10612066.545185	chr17	17924869	17925155	1
SRR10612066.545420	chr7	91692052	91699073	1
SRR10612066.545524	chr15	64415585	64415768	1
SRR10612066.545584	chrX	153657442	153660216	1
SRR10612066.545680	chr16	72134388	72135048	1
SRR10612066.545772_SRR10612066.1654623	chr5	54412110	54412447	2
SRR10612066.545963	chr2	203764592	203764864	1
SRR10612066.545995	chr10	125572874	125573036	1
SRR10612066.546088	chr1	60520884	60521075	1
SRR10612066.546105	chr5	80948769	80957372	1
SRR10612066.546135	chr2	106382603	106382741	1
SRR10612066.546312	chr6	4824068	4824204	1
SRR10612066.546462	chr5	5347024	5347420	1
SRR10612066.546621	chr8	139465002	139465331	1
SRR10612066.546631	chr16	87395803	87396116	1
SRR10612066.546668	chr13	63616227	63616383	1
SRR10612066.546729	chr9	4118758	4286524	1
SRR10612066.546762	chr8	22464462	22464744	1
SRR10612066.546764	chr19	7677441	7677663	1
SRR10612066.546883	chr19	50298675	50299001	1
SRR10612066.547018	chr7	22550715	22550805	1
SRR10612066.547498	chr1	227180394	227180527	1
SRR10612066.547508	chr4	166160029	166160376	1
SRR10612066.547582_SRR10612066.119440	chr11	78176954	78177042	2
SRR10612066.547625	chr19	9638635	9638825	1
SRR10612066.547634_SRR10612066.3342529_SRR10612066.5515694	chr12	110573472	110573685	3
SRR10612066.548254	chr13	80159319	80159779	1
SRR10612066.548310	chr20	43361266	43361535	1
SRR10612066.548385	chr5	131431085	131431244	1
SRR10612066.548391	chr9	99543319	99543476	1
SRR10612066.548524	chr15	49528046	49531565	1
SRR10612066.548612	chr16	67322130	67322279	1
SRR10612066.548778_SRR10612066.2759298_SRR10612066.1517787	chr16	74579239	74593987	3
SRR10612066.548811	chr8	15517015	15517147	1
SRR10612066.548863	chr14	70450862	70450995	1
SRR10612066.548927	chr10	43893284	43893591	1
SRR10612066.548993	chr1	9305329	9305467	1
SRR10612066.549034	chr11	45728876	45743596	1
SRR10612066.549074	chr22	41660668	41677088	1
SRR10612066.549078	chr4	91708392	91708514	1
SRR10612066.549192	chrX	146273617	146296903	1
SRR10612066.549245	chr5	138772336	138774032	1
SRR10612066.549426	chr3	141468132	141468222	1
SRR10612066.549555	chr8	144007289	144007389	1
SRR10612066.549562	chr9	43151871	43159891	1
SRR10612066.549588_SRR10612066.2900163_SRR10612066.5122332_SRR10612066.5945788	chr7	63487068	63489742	4
SRR10612066.549706	chr1	42664823	42744126	1
SRR10612066.549801_SRR10612066.2173256	chr1	153177199	153177476	2
SRR10612066.549822	chr5	64859392	64859581	1
SRR10612066.549885	chr21	39725400	39725545	1
SRR10612066.549956	chr9	125985210	125985461	1
SRR10612066.549988	chr1	143289705	143432422	1
SRR10612066.550360	chr11	5530082	5530212	1
SRR10612066.550843_SRR10612066.622264_SRR10612066.6021053_SRR10612066.7069666	chr3	196831799	196846406	4
SRR10612066.551039	chr6	77623112	77623229	1
SRR10612066.551067	chr11	118652034	118652272	1
SRR10612066.551444_SRR10612066.2392955	chr2	74885252	74885428	2
SRR10612066.551544	chr4	11456929	11457170	1
SRR10612066.551577	chr10	21963245	21963478	1
SRR10612066.551780	chr7	132338532	132339362	1
SRR10612066.552042	chr14	19594882	19597899	1
SRR10612066.552062	chr19	42372091	42372261	1
SRR10612066.552323	chr9	23853387	23853638	1
SRR10612066.552335	chr1	37143621	37143778	1
SRR10612066.552451	chr3	47790967	47791149	1
SRR10612066.552552	chr20	26081455	26081584	1
SRR10612066.552767_SRR10612066.1470500_SRR10612066.4455953	chr2	37543516	37543634	3
SRR10612066.552812	chr16	4920977	4921222	1
SRR10612066.552813	chr14	36189529	36189798	1
SRR10612066.552821	chr3	120163548	120163788	1
SRR10612066.552920	chr9	35043537	35043679	1
SRR10612066.552983	chr15	51574446	51577727	1
SRR10612066.553474	chrX	47054261	47054441	1
SRR10612066.553637	chr5	37224633	37224792	1
SRR10612066.553653	chr21	40782256	40792700	1
SRR10612066.553920	chr3	140819492	140819761	1
SRR10612066.553921_SRR10612066.2613780	chr15	83726435	83726696	2
SRR10612066.553962	chr13	25875337	25875593	1
SRR10612066.554310_SRR10612066.2818561_SRR10612066.4608355_SRR10612066.5040894_SRR10612066.5060663_SRR10612066.5282124_SRR10612066.5840469_SRR10612066.6036790_SRR10612066.6063410_SRR10612066.6579077_SRR10612066.6856063_SRR10612066.5830687_SRR10612066.6685041	chr1	145344879	145349707	13
SRR10612066.554319	chr6	129561465	129561692	1
SRR10612066.554368	chr11	104093409	104093763	1
SRR10612066.554422	chr19	48170564	48170700	1
SRR10612066.554520_SRR10612066.961435	chr7	17930032	17933053	2
SRR10612066.554549	chr16	31509296	31509587	1
SRR10612066.554559	chr17	63979457	63979599	1
SRR10612066.554607	chr4	106710838	106711123	1
SRR10612066.554617	chr13	20719235	20719327	1
SRR10612066.554638	chr8	136485148	136485405	1
SRR10612066.554644	chr17	44553525	44554277	1
SRR10612066.554714	chr12	22738538	22744246	1
SRR10612066.555352	chr10	126414359	126414766	1
SRR10612066.555458	chr4	2744736	2744969	1
SRR10612066.555673	chrX	107812473	107812834	1
SRR10612066.555688_SRR10612066.2518431	chr13	45918576	45918690	2
SRR10612066.556204	chr17	71331713	71331885	1
SRR10612066.556205	chr19	37945829	37956270	1
SRR10612066.556504	chr1	67452377	67452565	1
SRR10612066.556559	chr2	15691617	15698767	1
SRR10612066.556632	chr3	126262566	126262674	1
SRR10612066.556706	chr17	11173554	11173773	1
SRR10612066.556803	chr13	35564772	35564991	1
SRR10612066.556960	chr16	89224744	89224864	1
SRR10612066.557071	chr13	57868409	57868871	1
SRR10612066.557348	chr4	99049674	99053736	1
SRR10612066.557395	chr8	144994030	144994506	1
SRR10612066.557446	chr12	6644002	6645955	1
SRR10612066.557485	chr6	11429170	11429578	1
SRR10612066.557574	chr8	139370777	139370947	1
SRR10612066.557606	chr17	34501631	34589844	1
SRR10612066.557634	chr2	20478342	20527141	1
SRR10612066.557710	chr8	129015728	129015900	1
SRR10612066.557847	chr14	21829110	21830482	1
SRR10612066.558182_SRR10612066.1620702_SRR10612066.3261436_SRR10612066.3540291_SRR10612066.3724433_SRR10612066.5471893_SRR10612066.6158520_SRR10612066.6409929_SRR10612066.7012581_SRR10612066.7104510_SRR10612066.171105_SRR10612066.811063	chr6	25727289	25727458	12
SRR10612066.558230	chr12	1601689	1601884	1
SRR10612066.558249	chr1	63042984	63044598	1
SRR10612066.558253_SRR10612066.3413001	chr22	42205932	42206282	2
SRR10612066.558735	chr9	43041140	43044421	1
SRR10612066.558906	chr20	18536788	18536968	1
SRR10612066.559010	chr2	85830041	85846396	1
SRR10612066.559042	chr3	197402014	197403787	1
SRR10612066.559136	chr11	32948626	32956981	1
SRR10612066.559339	chr11	116915495	116917418	1
SRR10612066.559502	chr17	57808788	57812799	1
SRR10612066.559528	chr19	5699613	5735680	1
SRR10612066.559556	chr15	90978875	90979350	1
SRR10612066.559689	chr15	41749869	41763549	1
SRR10612066.559751	chr10	37529829	37541253	1
SRR10612066.559758	chr16	66819692	66822185	1
SRR10612066.560012_SRR10612066.3083007	chr8	118075571	118075737	2
SRR10612066.560287	chr6	43643306	43643458	1
SRR10612066.560383	chr14	35470187	35476591	1
SRR10612066.560385	chr2	37160420	37160865	1
SRR10612066.560575	chr20	26221191	26221280	1
SRR10612066.560752	chr7	129349006	129350414	1
SRR10612066.560801	chr19	37079285	37079580	1
SRR10612066.560919	chr3	39558487	39558678	1
SRR10612066.560962	chr6	119185154	119185344	1
SRR10612066.561195	chr1	53265040	53299273	1
SRR10612066.561246_SRR10612066.7153231	chr12	113812696	113812813	2
SRR10612066.561330	chr7	50057836	50070915	1
SRR10612066.561420	chr11	20429481	20486091	1
SRR10612066.561463	chr1	226449978	226450353	1
SRR10612066.561498	chr15	94443391	94443579	1
SRR10612066.561542	chr22	37752732	37753012	1
SRR10612066.561685	chr17	21438547	21438659	1
SRR10612066.561795	chr7	98623117	98623256	1
SRR10612066.561875	chr22	40066907	40068277	1
SRR10612066.561950	chr4	56831947	56837498	1
SRR10612066.561975	chr19	873563	877036	1
SRR10612066.562190	chr2	85571731	85571875	1
SRR10612066.562487	chr7	2255788	2259089	1
SRR10612066.562810	chr18	3526172	3526391	1
SRR10612066.562919	chr17	19257707	19257944	1
SRR10612066.563010	chr3	60314388	60314804	1
SRR10612066.563218	chr15	95871435	95871598	1
SRR10612066.563225	chr22	24035674	24035809	1
SRR10612066.563243	chr14	27334125	27334276	1
SRR10612066.563335	chr3	118327867	118328053	1
SRR10612066.563570	chr3	195934978	195938092	1
SRR10612066.563617	chr17	7379401	7379604	1
SRR10612066.563656	chr2	232203351	232203732	1
SRR10612066.563666	chr2	97931923	98105419	1
SRR10612066.563671	chr2	153551375	153551557	1
SRR10612066.563695	chr16	10500941	10501114	1
SRR10612066.563716	chr10	70679588	70694606	1
SRR10612066.563888	chr5	108294988	108380414	1
SRR10612066.563967	chr5	153411103	153411253	1
SRR10612066.564395	chr1	19639326	19651221	1
SRR10612066.564515	chr2	98101944	98102631	1
SRR10612066.564599	chr9	132834713	132835009	1
SRR10612066.564681	chr9	127930266	127930387	1
SRR10612066.564721	chr11	50341268	50618633	1
SRR10612066.565020	chr9	33844429	33844608	1
SRR10612066.565072	chr15	89400648	89400855	1
SRR10612066.565206_SRR10612066.1737148_SRR10612066.2378764	chr11	65272758	65272980	3
SRR10612066.565245	chr17	26593901	26594576	1
SRR10612066.565300	chr8	130963552	130963639	1
SRR10612066.565304	chr10	76032154	76032437	1
SRR10612066.565399	chr3	118339779	118339926	1
SRR10612066.565421	chr13	98637738	98637895	1
SRR10612066.565539	chr14	33201147	33201286	1
SRR10612066.565561	chr17	75958163	75958815	1
SRR10612066.565615	chr2	180352274	180352621	1
SRR10612066.565653	chr13	46802222	46802310	1
SRR10612066.565685	chr2	156137602	156137788	1
SRR10612066.565701	chr10	76311516	76311900	1
SRR10612066.565781	chr22	48078778	48078935	1
SRR10612066.565790	chr17	35876368	35876536	1
SRR10612066.565816	chr17	47395185	47395320	1
SRR10612066.565876	chr17	31011222	31011612	1
SRR10612066.565996	chr1	203004991	203005138	1
SRR10612066.566279	chr11	94591109	94591276	1
SRR10612066.566376	chr3	135856920	135857086	1
SRR10612066.566395	chr14	55961035	55961438	1
SRR10612066.566458_SRR10612066.2763204_SRR10612066.4066653_SRR10612066.5610656_SRR10612066.5985236_SRR10612066.6194250_SRR10612066.6520772_SRR10612066.5347028	chr1	148261508	148266351	8
SRR10612066.566478	chr22	29759050	29815251	1
SRR10612066.566639	chr22	20914972	20915259	1
SRR10612066.566697	chr9	96425945	96426078	1
SRR10612066.566799	chr4	40862669	40862808	1
SRR10612066.566953	chr18	46640585	46640742	1
SRR10612066.566986_SRR10612066.812691	chr14	103327699	103327860	2
SRR10612066.567153_SRR10612066.1071987_SRR10612066.1271992_SRR10612066.1776173_SRR10612066.2712224_SRR10612066.3105976_SRR10612066.3347409_SRR10612066.4459613_SRR10612066.4872818_SRR10612066.5237059_SRR10612066.5449580_SRR10612066.5536344_SRR10612066.5985075_SRR10612066.6042115_SRR10612066.6338408_SRR10612066.6354934_SRR10612066.6550281_SRR10612066.6558995_SRR10612066.6710308_SRR10612066.6742805_SRR10612066.6908543	chr7	140626869	140639284	21
SRR10612066.567476	chr4	36095202	36095361	1
SRR10612066.567512	chr2	111894738	111894961	1
SRR10612066.567515	chr2	231655633	231655731	1
SRR10612066.567593	chr17	8388794	8389424	1
SRR10612066.567641	chr1	42657309	42657392	1
SRR10612066.567651	chr14	68194116	68194228	1
SRR10612066.567667	chr17	5122434	5122898	1
SRR10612066.567698	chr6	43322613	43323151	1
SRR10612066.567702	chr14	24454839	24502729	1
SRR10612066.567711	chr17	80589758	80589915	1
SRR10612066.567845	chr3	123033572	123033761	1
SRR10612066.567875	chr3	52434664	52434828	1
SRR10612066.568065	chr6	93646339	93646694	1
SRR10612066.568228	chr3	191074875	191078948	1
SRR10612066.568282_SRR10612066.4731355_SRR10612066.5774261	chr8	17838100	17843597	3
SRR10612066.568326	chr19	20779385	20780005	1
SRR10612066.568349	chr22	20294828	20295071	1
SRR10612066.568356	chr14	49700676	49700759	1
SRR10612066.568363	chr6	107796479	107829016	1
SRR10612066.568407	chr12	14683892	14684222	1
SRR10612066.568495	chr22	23233192	23233437	1
SRR10612066.568740	chr3	136048048	136048531	1
SRR10612066.568799_SRR10612066.729035_SRR10612066.935681_SRR10612066.1101868_SRR10612066.1261350_SRR10612066.1807896_SRR10612066.1859897_SRR10612066.2142810_SRR10612066.2524709_SRR10612066.2730404_SRR10612066.2773885_SRR10612066.3102133_SRR10612066.3250444_SRR10612066.3283154_SRR10612066.3560087_SRR10612066.3859296_SRR10612066.4314536_SRR10612066.4427346_SRR10612066.4453290_SRR10612066.882038	chr8	100493967	100514009	20
SRR10612066.568974	chr17	65082943	65163915	1
SRR10612066.568975	chr10	98680874	98681068	1
SRR10612066.569016	chr1	166826522	166826604	1
SRR10612066.569019	chr5	98312537	98335437	1
SRR10612066.569045	chr8	103385847	103386100	1
SRR10612066.569154	chr9	127757939	127758190	1
SRR10612066.569250	chr11	86147897	86148075	1
SRR10612066.569268	chr12	12046332	12046591	1
SRR10612066.569270	chr1	236751306	236754231	1
SRR10612066.569371	chr6	147392659	147394399	1
SRR10612066.569443	chr9	86276661	86278901	1
SRR10612066.569486	chr3	149461658	149461915	1
SRR10612066.569497	chr19	42489458	42490346	1
SRR10612066.569524	chr7	81955739	81955844	1
SRR10612066.569537	chr12	111799634	111800004	1
SRR10612066.569540	chr19	21288682	21288817	1
SRR10612066.569639	chr19	18789735	18789875	1
SRR10612066.569720	chr14	74375684	74375787	1
SRR10612066.569765	chr9	35607214	35607402	1
SRR10612066.569774	chr22	40419512	40420044	1
SRR10612066.570083	chr3	105262367	105262507	1
SRR10612066.570309	chr11	33146995	33147248	1
SRR10612066.570325	chr10	35426774	35437358	1
SRR10612066.570334	chr3	12952614	12952773	1
SRR10612066.570336	chr5	162985533	162985655	1
SRR10612066.570354	chr10	53130629	53131250	1
SRR10612066.570358	chr17	72285792	72287264	1
SRR10612066.570385_SRR10612066.2228713_SRR10612066.3616949	chr22	26341484	26341654	3
SRR10612066.570411	chr6	83899441	83899594	1
SRR10612066.570527	chr9	33983836	33984063	1
SRR10612066.570623	chr6	31872354	31872455	1
SRR10612066.570700	chr22	19502247	19502383	1
SRR10612066.570844	chr8	22884373	23001909	1
SRR10612066.570869_SRR10612066.1844093	chr10	118643047	118643240	2
SRR10612066.570888_SRR10612066.3016047	chr13	19446006	19446109	2
SRR10612066.570899	chr16	29457350	29559203	1
SRR10612066.570933_SRR10612066.708673_SRR10612066.1812380_SRR10612066.4475939	chr19	15228735	15230052	4
SRR10612066.571058	chr12	133732664	133732788	1
SRR10612066.571261	chr20	23169475	23169795	1
SRR10612066.571309_SRR10612066.575039	chr1	154512190	154512326	2
SRR10612066.571333	chr15	64854729	64855012	1
SRR10612066.571344	chr1	203696524	203696651	1
SRR10612066.571384	chr7	155437514	155473367	1
SRR10612066.571517	chr9	95650045	95650241	1
SRR10612066.571539	chr13	112624009	112624215	1
SRR10612066.571619	chr10	93757412	93768025	1
SRR10612066.571859	chr14	88626802	88626906	1
SRR10612066.571968	chr20	47700540	47705844	1
SRR10612066.571988	chr17	18087565	18087659	1
SRR10612066.572036	chr7	66313476	66345851	1
SRR10612066.572049_SRR10612066.6100134	chr1	170159313	170159441	2
SRR10612066.572130	chr5	70850763	70850939	1
SRR10612066.572274	chr16	11558068	11558253	1
SRR10612066.572340	chr2	183993013	184047409	1
SRR10612066.572387	chr7	135614244	135614393	1
SRR10612066.572477_SRR10612066.1469468	chr4	2658346	2658502	2
SRR10612066.572500	chr5	3452692	3452970	1
SRR10612066.572522_SRR10612066.2722333	chr15	49323407	49323493	2
SRR10612066.572711	chr19	14681640	14681864	1
SRR10612066.573073_SRR10612066.2964391	chr12	6959769	6959899	2
SRR10612066.573383	chr22	35783050	35783150	1
SRR10612066.573448	chr6	322247	322338	1
SRR10612066.573774	chr10	126470674	126471001	1
SRR10612066.574060	chr4	174527966	174528323	1
SRR10612066.574100	chr9	12205877	12206104	1
SRR10612066.574405	chr1	55119456	55119607	1
SRR10612066.574794	chr6	170860131	170923071	1
SRR10612066.574912	chr9	42439037	42439489	1
SRR10612066.574927	chr8	43093861	43097022	1
SRR10612066.574941	chr1	38152063	38155490	1
SRR10612066.575171	chr13	113170754	113181797	1
SRR10612066.575195	chr21	43130592	43130725	1
SRR10612066.575227	chr22	18685992	18721482	1
SRR10612066.575443	chr9	138686519	138686616	1
SRR10612066.575514	chr13	67893379	67893616	1
SRR10612066.575576	chr6	32155445	32156108	1
SRR10612066.575606	chr21	28306482	28306621	1
SRR10612066.575799	chr1	221280120	221280309	1
SRR10612066.575954	chr14	31591154	31591343	1
SRR10612066.576098	chr6	144780450	144783835	1
SRR10612066.576144	chr8	101083607	101083752	1
SRR10612066.576151	chr2	237016447	237016581	1
SRR10612066.576159	chr6	121008804	121008938	1
SRR10612066.576163	chr13	98667782	98669105	1
SRR10612066.576208	chr2	236460882	236460968	1
SRR10612066.576437	chr1	31768598	31768828	1
SRR10612066.576619	chr1	154569363	154569655	1
SRR10612066.576669_SRR10612066.2818988	chr17	64314945	64315081	2
SRR10612066.576746	chr16	5134687	5135084	1
SRR10612066.576755	chr21	37149253	37149543	1
SRR10612066.577056	chr8	43296488	43296846	1
SRR10612066.577329	chr6	101957402	101957497	1
SRR10612066.577466	chr8	74570780	74570946	1
SRR10612066.577510	chr22	47862337	47862477	1
SRR10612066.577808_SRR10612066.973425	chr22	20067748	20073340	2
SRR10612066.577980	chr2	153300300	153300521	1
SRR10612066.578020	chr1	61627118	61627298	1
SRR10612066.578023_SRR10612066.710076	chr5	158468628	158468754	2
SRR10612066.578032	chr18	34598114	34598638	1
SRR10612066.578069	chr2	203719200	203719502	1
SRR10612066.578193	chr5	114632147	114632371	1
SRR10612066.578199	chr13	21893881	21894126	1
SRR10612066.578200	chr10	80934907	80935070	1
SRR10612066.578205	chr9	107672862	107673013	1
SRR10612066.578384	chr1	146062679	146063062	1
SRR10612066.578506	chr15	84838791	85046798	1
SRR10612066.578586_SRR10612066.4047628	chr13	111289137	111289358	2
SRR10612066.578587	chr8	480397	480575	1
SRR10612066.579008	chr15	83212563	83212710	1
SRR10612066.579090_SRR10612066.3422372	chr7	65705318	65706257	2
SRR10612066.579110	chrY	23015851	23084070	1
SRR10612066.579132	chr17	61372529	61372723	1
SRR10612066.579198_SRR10612066.3589596_SRR10612066.4135770_SRR10612066.7185904	chr5	69790975	69814195	4
SRR10612066.579201	chr7	44246013	44250664	1
SRR10612066.579203_SRR10612066.2550557	chr2	121523336	121523490	2
SRR10612066.579213	chr2	96676692	96676970	1
SRR10612066.579601_SRR10612066.2533312	chr3	172628520	172628708	2
SRR10612066.579768	chr22	26854424	26859908	1
SRR10612066.580152	chr19	21582049	21582251	1
SRR10612066.580228	chr1	133502	329980	1
SRR10612066.580230	chr1	35567597	35567737	1
SRR10612066.580236	chr9	72943081	72943218	1
SRR10612066.580252	chr7	150736466	150736744	1
SRR10612066.580385	chr11	16311982	16312210	1
SRR10612066.580517	chr10	74914016	74916157	1
SRR10612066.580757	chr11	65259222	65259432	1
SRR10612066.580868	chr3	136443108	136443266	1
SRR10612066.580943	chr16	47353696	47353806	1
SRR10612066.581063	chr9	125966797	125966927	1
SRR10612066.581335	chrY	15804932	15805104	1
SRR10612066.581545	chr5	65349402	65349567	1
SRR10612066.581595	chr6	55882824	55883024	1
SRR10612066.581695	chr12	25415724	25415884	1
SRR10612066.581700	chr8	11232185	11232467	1
SRR10612066.581993	chr9	101518823	101536275	1
SRR10612066.582060	chr12	112036653	112036839	1
SRR10612066.582210_SRR10612066.1790570_SRR10612066.2063023_SRR10612066.2074762_SRR10612066.3082556_SRR10612066.3908447	chr4	144435178	144438524	6
SRR10612066.582270_SRR10612066.1202353	chr2	121814451	121814644	2
SRR10612066.582572	chr9	132620359	132623243	1
SRR10612066.582755	chr20	32875901	32876110	1
SRR10612066.582991	chr16	9595912	9596021	1
SRR10612066.582999	chr6	36466155	36466266	1
SRR10612066.583140	chr6	37826933	37827160	1
SRR10612066.583203	chr16	1529045	1580345	1
SRR10612066.583206	chr2	51169903	51170034	1
SRR10612066.583336	chr22	39145520	39145875	1
SRR10612066.583598	chr17	12703211	12703400	1
SRR10612066.583766	chr12	2911022	2911128	1
SRR10612066.583936	chr16	12803532	12803664	1
SRR10612066.583964	chr17	2266396	2268324	1
SRR10612066.584145	chr15	75113189	75113286	1
SRR10612066.584228	chr2	76954921	77132734	1
SRR10612066.584290	chr1	148279746	148283906	1
SRR10612066.584292	chr13	34507388	34507592	1
SRR10612066.584304	chrX	24561210	24561339	1
SRR10612066.584393_SRR10612066.1353514_SRR10612066.2182145_SRR10612066.2835758_SRR10612066.3500778	chr15	102312188	102312355	5
SRR10612066.584702	chr2	96912464	96913178	1
SRR10612066.584711	chr12	50481247	50484127	1
SRR10612066.584742	chr3	119902269	119902364	1
SRR10612066.584877	chr18	5440538	5440757	1
SRR10612066.585016	chrX	149188822	149189051	1
SRR10612066.585105	chr5	99834973	99835107	1
SRR10612066.585125	chr19	46674094	46674219	1
SRR10612066.585226	chr9	131756678	131757642	1
SRR10612066.585321	chr3	57507925	57508151	1
SRR10612066.585324_SRR10612066.5023673_SRR10612066.6546336	chr1	207934751	207940446	3
SRR10612066.585441	chr12	133402293	133402506	1
SRR10612066.585627	chr4	57208999	57209132	1
SRR10612066.585762_SRR10612066.6020674	chr13	21374314	21374995	2
SRR10612066.585920	chr22	31055835	31056077	1
SRR10612066.585981	chr4	1902953	1906025	1
SRR10612066.586077_SRR10612066.799688_SRR10612066.1365430_SRR10612066.2915924_SRR10612066.3582604_SRR10612066.3731200	chr1	192433663	192433753	6
SRR10612066.586230	chr14	35469914	35470218	1
SRR10612066.586399	chr3	49250269	49258456	1
SRR10612066.586574	chr5	35740234	35753751	1
SRR10612066.586717	chr4	132661131	132671245	1
SRR10612066.586758	chr15	49445686	49475083	1
SRR10612066.586856	chr17	38612759	38612985	1
SRR10612066.586953	chr1	202242468	202242710	1
SRR10612066.586987	chr19	19904033	19904212	1
SRR10612066.586994	chr18	33848602	33848736	1
SRR10612066.587018	chr1	93036987	93037418	1
SRR10612066.587193	chr13	96271900	96272196	1
SRR10612066.587202	chr2	87152091	87152286	1
SRR10612066.587210	chr19	52085122	52085262	1
SRR10612066.587335	chrX	140669368	140673491	1
SRR10612066.587406	chr7	23152159	23152270	1
SRR10612066.587444	chr11	64056516	64056610	1
SRR10612066.587532	chr16	53196380	53196497	1
SRR10612066.587541_SRR10612066.2551077	chr17	70117172	70117458	2
SRR10612066.587587	chr15	20614220	20614730	1
SRR10612066.587600	chr19	54933363	54933501	1
SRR10612066.587874_SRR10612066.1858353_SRR10612066.2126648	chr9	170339	170450	3
SRR10612066.587918	chr12	55808218	55808428	1
SRR10612066.588061	chr15	76520083	76523739	1
SRR10612066.588084	chr9	136265058	136265328	1
SRR10612066.588134	chr12	94194497	94194735	1
SRR10612066.588136	chr2	102342198	102342388	1
SRR10612066.588332	chrX	110947670	110972276	1
SRR10612066.588434	chr2	240954180	240958052	1
SRR10612066.588537	chr6	74264626	74264948	1
SRR10612066.588802	chr7	56889604	56891517	1
SRR10612066.588841	chr8	64472269	64472415	1
SRR10612066.588914	chr19	9046682	9048935	1
SRR10612066.589034	chr3	25686834	25687043	1
SRR10612066.589072	chr3	184091721	184093054	1
SRR10612066.589134_SRR10612066.2492621_SRR10612066.2627362_SRR10612066.4624823_SRR10612066.6417378	chr7	99934328	99934686	5
SRR10612066.589159	chr3	110837698	110837921	1
SRR10612066.589170	chr10	21880246	21880609	1
SRR10612066.589201	chr8	38587799	38588107	1
SRR10612066.589210	chr16	67820472	67827977	1
SRR10612066.589257	chr19	22170075	22379492	1
SRR10612066.589368_SRR10612066.1008366_SRR10612066.1420139_SRR10612066.2856368_SRR10612066.2960241_SRR10612066.3755325	chr16	48578159	48578338	6
SRR10612066.589505	chr4	175288807	175289476	1
SRR10612066.589512	chr11	47271950	47272065	1
SRR10612066.589614	chr14	35262051	35264077	1
SRR10612066.589697	chr18	7079151	7079396	1
SRR10612066.589808_SRR10612066.2116038_SRR10612066.2580093_SRR10612066.3709819	chr9	70929826	70934276	4
SRR10612066.589860	chr11	75218807	75218895	1
SRR10612066.590217	chr10	82006891	82007004	1
SRR10612066.590323	chr6	26391192	26429252	1
SRR10612066.590354	chr17	78349877	78350046	1
SRR10612066.590414	chr4	39082728	39083710	1
SRR10612066.590529	chr17	27835051	27844675	1
SRR10612066.590803	chr10	69726475	69751995	1
SRR10612066.590886	chr21	18113462	18113598	1
SRR10612066.590966	chr17	76968177	76968398	1
SRR10612066.591178	chr9	108285119	108285287	1
SRR10612066.591383	chr9	463807	464001	1
SRR10612066.591395	chr9	27461706	27461936	1
SRR10612066.591516_SRR10612066.3484295_SRR10612066.5633048	chr7	66362057	66362285	3
SRR10612066.591714	chr1	19578193	19583622	1
SRR10612066.591733	chr13	98139831	98140133	1
SRR10612066.591828	chr17	34105890	34106031	1
SRR10612066.591981_SRR10612066.595501	chr1	21096827	21096940	2
SRR10612066.592081	chr9	43141881	43142062	1
SRR10612066.592129	chr5	79477138	79477301	1
SRR10612066.592251	chr13	79888901	79889064	1
SRR10612066.592301	chr1	52118420	52118703	1
SRR10612066.592321	chr20	32803304	32803600	1
SRR10612066.592494	chr2	113146665	113146833	1
SRR10612066.592545	chr12	60563391	60563500	1
SRR10612066.592600	chr16	11114046	11220003	1
SRR10612066.592622	chr1	16246856	16247079	1
SRR10612066.592659_SRR10612066.2580565	chr2	220308443	220308628	2
SRR10612066.592911	chr7	143951415	143951548	1
SRR10612066.592994	chr17	79867500	79869142	1
SRR10612066.593410_SRR10612066.5464640	chrX	49821329	49821490	2
SRR10612066.593460	chr20	40081397	40083378	1
SRR10612066.593664	chr9	119565813	119566021	1
SRR10612066.593680	chr1	116574351	116575404	1
SRR10612066.593776_SRR10612066.5700802_SRR10612066.6702950	chr2	24021105	24033255	3
SRR10612066.594072	chr1	243977052	243979026	1
SRR10612066.594084	chr12	111256698	111278758	1
SRR10612066.594119_SRR10612066.4704303_SRR10612066.6066259_SRR10612066.6131471_SRR10612066.2678779	chr2	68729862	68729994	5
SRR10612066.594277	chr14	90076183	90076410	1
SRR10612066.594294	chr1	95151598	95151747	1
