readname	chr	start	end
SRR10612065.14833	chr4	52729601	52744020
SRR10612065.14884	chrY	22631681	22632276
SRR10612065.15062	chr16	78260607	78260922
SRR10612065.15076	chr9	134271105	134271348
SRR10612065.15185	chr3	28458825	28458933
SRR10612065.15309	chrX	62894018	62926200
SRR10612065.15452	chr12	110572775	110584795
SRR10612065.15665	chr11	113146300	113146511
SRR10612065.15952	chr14	36645139	36645339
SRR10612065.15953	chr15	25653671	25653798
SRR10612065.15969	chr2	230356616	230359757
SRR10612065.16329	chr3	169831144	169840534
SRR10612065.16428	chr8	38809697	38810223
SRR10612065.16682	chr2	230356616	230359757
SRR10612065.16792	chr7	104800956	104807890
SRR10612065.16855	chr20	47981431	47981583
SRR10612065.16882	chr5	175309930	175310260
SRR10612065.16893	chr2	230356669	230356749
SRR10612065.16942	chr2	230356616	230359757
SRR10612065.16995	chr2	208729779	208729945
SRR10612065.17279	chr2	231741569	231742136
SRR10612065.17504	chr11	60619329	60619478
SRR10612065.17891	chr11	65268873	65269019
SRR10612065.17951	chr10	32740520	32740851
SRR10612065.18077	chr5	65282561	65282706
SRR10612065.18108	chr6	24577848	24577961
SRR10612065.18198	chr1	12415194	12441433
SRR10612065.18319	chr2	128075207	128075338
SRR10612065.18323	chr2	230356616	230359758
SRR10612065.18660	chr8	42821613	42823226
SRR10612065.18865	chr1	200721374	200721525
SRR10612065.19032	chr20	49518553	49520454
SRR10612065.19052	chr2	230356616	230359748
SRR10612065.19081	chr15	43712585	43712818
SRR10612065.19128	chr7	45621488	45621568
SRR10612065.19188	chr5	78734877	78742937
SRR10612065.19275	chr2	230356616	230359757
SRR10612065.19278	chr14	89109289	89109368
SRR10612065.19297	chr14	33292182	33292511
SRR10612065.19685	chr16	9853294	9853488
SRR10612065.19802	chr7	45621383	45621568
SRR10612065.19829	chr2	230356616	230359758
SRR10612065.19879	chr2	2837329	2837541
SRR10612065.19943	chr2	230356627	230356750
SRR10612065.20012	chr9	36052262	36080637
SRR10612065.20037	chr7	23650796	23650918
SRR10612065.20368	chr12	67171525	67171654
SRR10612065.20408	chr6	94066443	94066753
SRR10612065.20409	chr2	115538658	115539115
SRR10612065.20646	chr5	73932021	73932220
SRR10612065.20649	chr12	8544203	8550475
SRR10612065.20833	chr7	45621383	45621568
SRR10612065.20851	chr2	230356615	230359757
SRR10612065.20856	chr1	567275	567359
SRR10612065.20983	chr7	14468005	14468149
SRR10612065.21020	chr21	45497571	45500009
SRR10612065.21034	chr16	18434182	18474352
SRR10612065.21057	chr12	50523453	50523858
SRR10612065.21128	chr17	76968228	76968420
SRR10612065.21235	chr1	243708811	244006586
SRR10612065.21258	chr3	7188137	7250015
SRR10612065.21422	chr15	44788581	44789336
SRR10612065.21523	chr11	74921407	74936148
SRR10612065.21543	chr22	22658306	22661610
SRR10612065.21767	chr11	44129227	44135851
SRR10612065.21827	chr12	99194816	99223054
SRR10612065.21907	chr2	230356644	230356747
SRR10612065.21926	chr7	45621383	45621568
SRR10612065.21973	chr7	99621040	99621925
SRR10612065.22063	chr2	101541716	101554234
SRR10612065.22088	chr2	230356617	230359748
SRR10612065.22186	chr19	46119503	46119687
SRR10612065.22344	chr2	230356616	230359758
SRR10612065.22474	chr2	28117432	28141170
SRR10612065.22478	chr13	41834678	41834860
SRR10612065.22506	chr12	78064700	78064828
SRR10612065.22591	chr7	122024614	122024722
SRR10612065.22658	chr7	45621452	45621568
SRR10612065.22724	chr8	99727401	99790505
SRR10612065.22750	chr2	230356616	230359758
SRR10612065.22769	chr17	489508	530556
SRR10612065.22820	chr2	230356620	230356715
SRR10612065.22858	chr6	138521844	138521990
SRR10612065.22870	chr11	85418531	85420545
SRR10612065.22941	chr1	230487998	230488144
SRR10612065.23057	chr3	169835037	169840531
SRR10612065.23134	chr1	149822781	149858692
SRR10612065.23410	chr4	103866391	103867899
SRR10612065.23575	chr13	42352123	42393523
SRR10612065.23678	chr7	45621452	45621568
SRR10612065.23832	chr10	31749990	31750100
SRR10612065.23865	chr7	23164307	23183555
SRR10612065.23916	chr2	230356618	230359757
SRR10612065.24277	chr5	132426922	132428449
SRR10612065.24434	chr2	230356646	230356745
SRR10612065.24510	chr1	8601326	8617522
SRR10612065.24722	chr8	142264551	142264630
SRR10612065.24728	chr10	105447502	105448440
SRR10612065.24767	chr9	33971648	33973236
SRR10612065.24805	chr2	172885951	172886267
SRR10612065.24825	chr3	39191136	39191442
SRR10612065.24843	chr10	28872413	28878759
SRR10612065.24893	chr14	20811261	20811367
SRR10612065.24985	chr11	72005395	72012940
SRR10612065.25009	chr10	95458138	95463810
SRR10612065.25051	chr22	27070274	27070540
SRR10612065.25054	chr6	3177433	3225713
SRR10612065.25058	chr13	113843705	113843892
SRR10612065.25060	chr6	55360216	55406943
SRR10612065.25213	chr2	230356616	230359748
SRR10612065.25392	chr2	230356661	230356757
SRR10612065.25468	chr11	82984729	82985766
SRR10612065.25648	chr15	83516883	83517131
SRR10612065.25665	chr11	65268785	65268977
SRR10612065.25683	chr15	34121182	34121419
SRR10612065.25792	chr7	45621488	45621568
SRR10612065.25830	chr2	230356641	230356747
SRR10612065.25847	chr16	85124755	85125044
SRR10612065.25867	chr2	230356616	230359748
SRR10612065.25876	chr6	54013852	54095715
SRR10612065.26086	chr11	75115792	75116039
SRR10612065.26342	chr20	33057850	33077731
SRR10612065.26343	chr2	230356616	230359758
SRR10612065.26380	chr10	101157067	101157411
SRR10612065.26505	chr3	49048463	49048837
SRR10612065.26520	chr12	9557539	9558860
SRR10612065.26578	chr2	230356618	230356750
SRR10612065.26646	chr7	123700779	123700879
SRR10612065.26696	chrX	47435731	47436041
SRR10612065.26806	chr2	230356616	230359758
SRR10612065.26913	chr2	203690418	203693739
SRR10612065.26961	chr7	45621418	45621568
SRR10612065.27044	chr15	52058656	52060522
SRR10612065.27234	chr7	107133974	107134091
SRR10612065.27504	chr9	138741981	138758383
SRR10612065.27560	chr9	135994823	135995348
SRR10612065.27683	chr18	74691888	74692080
SRR10612065.27720	chr4	184392744	184395949
SRR10612065.27722	chr2	230356645	230356748
SRR10612065.27786	chr2	40655727	40656499
SRR10612065.27818	chr15	84837093	84916113
SRR10612065.28135	chr1	33764684	33764828
SRR10612065.28165	chr9	70937416	70941508
SRR10612065.28173	chr8	48308965	48309182
SRR10612065.28346	chr7	45621488	45621575
SRR10612065.28558	chr8	126098724	126098989
SRR10612065.28576	chr20	37159809	37169836
SRR10612065.28636	chr4	181276309	181276419
SRR10612065.28880	chr10	1277766	1278114
SRR10612065.28998	chr2	230356616	230359745
SRR10612065.29103	chr16	30904559	30905297
SRR10612065.29198	chr1	155851843	155852171
SRR10612065.29394	chr2	230356619	230356733
SRR10612065.29422	chr7	45621383	45621568
SRR10612065.29449	chr4	114176897	114179488
SRR10612065.29487	chr5	761381	761473
SRR10612065.29496	chr12	2702609	2702708
SRR10612065.29511	chr2	230356616	230359758
SRR10612065.29562	chr2	230356619	230356750
SRR10612065.29611	chr3	68242131	68242506
SRR10612065.29754	chr2	230356617	230359758
SRR10612065.30247	chr9	87636654	87637169
SRR10612065.30269	chr12	57037240	57037332
SRR10612065.30330	chr8	91369039	91384628
SRR10612065.30372	chr2	230356653	230356746
SRR10612065.30430	chr2	166335761	166335897
SRR10612065.30452	chr3	171965321	171969333
SRR10612065.30488	chr4	72436652	72436804
SRR10612065.30727	chr9	37304208	37305609
SRR10612065.30839	chr18	21660662	21660841
SRR10612065.30847	chr13	45951552	45951913
SRR10612065.30864	chr4	52729601	52744020
SRR10612065.30900	chr2	24974977	24980990
SRR10612065.31000	chr17	29042297	29042521
SRR10612065.31017	chr14	100379967	100380093
SRR10612065.31022	chr2	38812906	38818770
SRR10612065.31115	chr9	33281294	33281431
SRR10612065.31117	chr6	154749262	154751726
SRR10612065.31121	chr9	130207185	130207401
SRR10612065.31204	chr2	230356616	230359758
SRR10612065.31229	chr9	114296041	114296639
SRR10612065.31306	chr2	115638666	115638798
SRR10612065.31543	chr11	65268522	65268934
SRR10612065.31571	chr2	230356616	230359756
SRR10612065.31634	chr1	44680490	44684347
SRR10612065.31892	chr14	76248827	76259443
SRR10612065.32060	chr9	45974340	45974437
SRR10612065.32336	chr7	151923824	151924365
SRR10612065.32389	chr2	200233330	200298143
SRR10612065.32463	chr2	168920041	168986110
SRR10612065.32637	chr2	230356616	230359758
SRR10612065.32758	chr9	21476895	21477293
SRR10612065.32767	chr8	131181281	131191595
SRR10612065.32784	chr7	91948773	91957214
SRR10612065.32820	chr14	51445736	51446038
SRR10612065.32878	chr10	70502143	70502326
SRR10612065.32988	chr2	230356616	230359758
SRR10612065.33112	chr14	47343330	47346712
SRR10612065.33415	chr5	140690839	140691037
SRR10612065.33469	chr4	52729601	52744020
SRR10612065.33617	chr6	111880849	111881020
SRR10612065.33665	chr3	183368424	183368867
SRR10612065.33696	chr5	65282561	65282706
SRR10612065.33704	chr19	17182272	17182482
SRR10612065.33715	chr1	52747350	52747485
SRR10612065.33731	chr2	230356616	230359758
SRR10612065.33967	chr22	19001126	19001403
SRR10612065.34143	chr1	70541758	70555498
SRR10612065.34215	chr2	230356618	230356750
SRR10612065.34228	chr5	134120446	134121242
SRR10612065.34292	chr4	68824620	68825145
SRR10612065.34293	chr2	230356616	230359757
SRR10612065.34578	chr2	230356650	230356744
SRR10612065.34580	chr2	230356619	230356738
SRR10612065.34602	chr2	230356616	230359758
SRR10612065.34691	chr2	230356616	230356750
SRR10612065.34739	chr5	72808653	72808753
SRR10612065.34805	chr2	91828572	91828676
SRR10612065.34904	chr2	230356619	230356733
SRR10612065.34941	chr2	233613710	233620976
SRR10612065.34943	chr2	230356635	230356748
SRR10612065.34958	chr13	67401714	67401907
SRR10612065.35103	chr1	10037360	10049258
SRR10612065.35263	chr14	50292584	50298080
SRR10612065.35264	chr7	26224231	26224459
SRR10612065.35378	chr15	64005009	64005782
SRR10612065.35399	chr15	48455856	48456004
SRR10612065.35449	chr2	230356616	230359758
SRR10612065.35539	chr18	13666157	13666374
SRR10612065.35619	chr2	230356616	230359757
SRR10612065.35626	chr17	26488260	26495683
SRR10612065.35630	chr5	179454358	179454582
SRR10612065.35753	chr8	105502692	105503034
SRR10612065.35772	chr6	1189423	1189875
SRR10612065.35812	chr1	86211153	86334519
SRR10612065.35836	chr13	80067794	80067895
SRR10612065.35837	chr3	55768841	55922570
SRR10612065.35882	chr5	147858264	147858489
SRR10612065.35915	chr7	45621418	45621568
SRR10612065.36002	chr16	22319529	22320360
SRR10612065.36021	chr2	230356641	230356750
SRR10612065.36107	chr5	10403543	10405779
SRR10612065.36616	chr7	71733934	71734161
SRR10612065.36762	chr7	145892400	145892646
SRR10612065.37050	chrX	148561782	148562138
SRR10612065.37308	chr13	101997617	102051518
SRR10612065.37315	chr7	45621418	45621568
SRR10612065.37341	chr11	61555255	61555449
SRR10612065.37385	chr8	71023220	71023580
SRR10612065.37538	chr2	230356617	230359758
SRR10612065.37645	chrX	21896614	21896725
SRR10612065.37729	chr14	34395682	34395823
SRR10612065.37965	chr2	230356616	230359757
SRR10612065.38077	chr2	74595459	74595799
SRR10612065.38157	chrX	63418419	63418743
SRR10612065.38261	chr3	39566302	39566508
SRR10612065.38295	chr1	240351541	240421330
SRR10612065.38501	chr8	38677899	38678108
SRR10612065.38642	chr2	230356640	230356743
SRR10612065.38782	chr7	5780604	5780736
SRR10612065.38951	chr2	109388764	109388941
SRR10612065.38974	chr1	19456804	19457489
SRR10612065.39343	chr6	114376835	114377133
SRR10612065.39461	chr9	87425653	87425864
SRR10612065.39597	chr7	111549188	111549315
SRR10612065.39716	chr12	133586997	133779566
SRR10612065.39873	chr7	23650945	23651048
SRR10612065.39918	chr16	14241909	14242301
SRR10612065.39925	chr11	110134840	110135551
SRR10612065.40139	chr11	70181740	70184559
SRR10612065.40170	chr5	95970342	95970526
SRR10612065.40203	chr2	218182777	218183900
SRR10612065.40305	chrX	102841930	102842152
SRR10612065.40387	chr3	116096270	116096525
SRR10612065.40441	chr4	302588	480656
SRR10612065.40562	chr8	18532853	18533056
SRR10612065.40607	chr6	82924361	82924505
SRR10612065.40695	chr17	4910300	4910637
SRR10612065.40824	chr15	73052747	73067281
SRR10612065.41118	chr2	91828572	91828676
SRR10612065.41266	chr20	48273115	48330276
SRR10612065.41611	chr2	230356627	230356750
SRR10612065.41656	chr4	183522118	183549917
SRR10612065.41738	chr2	230356616	230359758
SRR10612065.41924	chr7	2534013	2535106
SRR10612065.41930	chr2	230356655	230356748
SRR10612065.41964	chr4	141782450	141782640
SRR10612065.42046	chr6	125695285	125695458
SRR10612065.42118	chr4	108614926	108615163
SRR10612065.42282	chr6	107824858	107827631
SRR10612065.42311	chr14	101403738	101433068
SRR10612065.42315	chr3	180680678	180685863
SRR10612065.42326	chr7	45621383	45621562
SRR10612065.42432	chr8	145894970	145895157
SRR10612065.42445	chr5	74647002	74651037
SRR10612065.42573	chr14	50768741	50769659
SRR10612065.42933	chr12	9557412	9558868
SRR10612065.43030	chr8	95972739	95972902
SRR10612065.43058	chr4	144780125	145006386
SRR10612065.43170	chr3	55768803	55984484
SRR10612065.43208	chr2	230356619	230356734
SRR10612065.43223	chr9	87425610	87425826
SRR10612065.43226	chr5	172368116	172368267
SRR10612065.43340	chr9	37126539	37127086
SRR10612065.43347	chr10	120797742	120797953
SRR10612065.43446	chr16	2319236	2320925
SRR10612065.43616	chr2	160626634	160626791
SRR10612065.43709	chr6	62515068	62515475
SRR10612065.43761	chrX	102931306	102931502
SRR10612065.43816	chr15	89872891	89873017
SRR10612065.43846	chr9	98742005	98742110
SRR10612065.43980	chr7	121769426	121773609
SRR10612065.44090	chr16	7703864	7714964
SRR10612065.44091	chr8	61496766	61504512
SRR10612065.44095	chr7	77973095	77975362
SRR10612065.44097	chr1	155408120	155408676
SRR10612065.44133	chr3	57283466	57287738
SRR10612065.44141	chr3	65415411	65415693
SRR10612065.44247	chr21	45719992	45723460
SRR10612065.44395	chr1	53282234	53287184
SRR10612065.44429	chr2	15519855	15523368
SRR10612065.44444	chr4	52743928	52744020
SRR10612065.44459	chr1	112017981	112018399
SRR10612065.44481	chr6	70108816	70108979
SRR10612065.45033	chr20	33440194	33442421
SRR10612065.45042	chr9	69181794	69182073
SRR10612065.45371	chr15	40665211	40665509
SRR10612065.45458	chr4	52743934	52744020
SRR10612065.45775	chr19	6702193	6702589
SRR10612065.45826	chr7	63942208	63948831
SRR10612065.45849	chr4	120333510	120353023
SRR10612065.45929	chr11	99526689	99526782
SRR10612065.45962	chrX	28995112	28995291
SRR10612065.46037	chr16	48311247	48329957
SRR10612065.46074	chr2	171884870	171902721
SRR10612065.46291	chr15	51750939	51756955
SRR10612065.46509	chr13	45955628	45955981
SRR10612065.46614	chr9	6783209	6783587
SRR10612065.46833	chr16	75335034	75335275
SRR10612065.46882	chrX	153356000	153356210
SRR10612065.46909	chr3	16349317	16349684
SRR10612065.46916	chr9	5756904	5757056
SRR10612065.47069	chr7	75958038	75958231
SRR10612065.47160	chr17	960958	961070
SRR10612065.47275	chr3	118640351	118640739
SRR10612065.47307	chr9	90151385	90151496
SRR10612065.47514	chr4	52729601	52744020
SRR10612065.47962	chr7	40971605	40991226
SRR10612065.47986	chr12	9557412	9558868
SRR10612065.48271	chr3	55733475	55768825
SRR10612065.48339	chr4	52729601	52744020
SRR10612065.48366	chr9	87356805	87367002
SRR10612065.48390	chr7	45621383	45621568
SRR10612065.48600	chr1	213277794	213349836
SRR10612065.48678	chr18	34261399	34273225
SRR10612065.48818	chr2	174937039	174937256
SRR10612065.48828	chr7	152452806	152453057
SRR10612065.48920	chr20	29516938	29520918
SRR10612065.48939	chr1	28422668	28422805
SRR10612065.49003	chr8	48764733	48764873
SRR10612065.49009	chr3	115394960	115395078
SRR10612065.49125	chr3	167754624	167759264
SRR10612065.49189	chr6	85425453	85425558
SRR10612065.49272	chr8	68942840	68950527
SRR10612065.49319	chr1	51425438	51425583
SRR10612065.49388	chr13	79915256	79918909
SRR10612065.49494	chr5	134911428	134911738
SRR10612065.49606	chr5	32056443	32056606
SRR10612065.49737	chr10	79397339	79397513
SRR10612065.49843	chr17	4186093	4210419
SRR10612065.49849	chrX	53113472	53113706
SRR10612065.49915	chr2	126923550	126923730
SRR10612065.49946	chr3	173550920	173551164
SRR10612065.49977	chr2	197757092	197757969
SRR10612065.50154	chr12	9557412	9558868
SRR10612065.50349	chr7	45621452	45621568
SRR10612065.50384	chr18	32095883	32096020
SRR10612065.50447	chr1	181520599	181520856
SRR10612065.50655	chr7	45621488	45621568
SRR10612065.50784	chr10	202191	202335
SRR10612065.50842	chr20	16485146	16488637
SRR10612065.50923	chr11	70200407	70202359
SRR10612065.50973	chr17	63182731	63182870
SRR10612065.50994	chr10	5741550	5754488
SRR10612065.50996	chr12	101333093	101333208
SRR10612065.51005	chr10	46992809	46993039
SRR10612065.51430	chr7	45621383	45621568
SRR10612065.51473	chr5	150918813	150935619
SRR10612065.51543	chr22	36885129	36885316
SRR10612065.51561	chr2	211018578	211018954
SRR10612065.51713	chr11	6423390	6432391
SRR10612065.51721	chr2	230356616	230359748
SRR10612065.51806	chr17	55164329	55164527
SRR10612065.51947	chr14	42357081	42360607
SRR10612065.52230	chr2	230356664	230356757
SRR10612065.52563	chr3	7995447	7995660
SRR10612065.52587	chr4	148796172	148800416
SRR10612065.52613	chr7	45621418	45621568
SRR10612065.52676	chr15	72501138	72502108
SRR10612065.52760	chr7	45621418	45621568
SRR10612065.52901	chr14	20811274	20811380
SRR10612065.52973	chr2	230356616	230359758
SRR10612065.52978	chrY	16662926	16663130
SRR10612065.53048	chr8	59337133	59337284
SRR10612065.53179	chr12	109046048	109048190
SRR10612065.53193	chr19	1954513	1954646
SRR10612065.53223	chr2	40655613	40657442
SRR10612065.53376	chr20	35281457	35281870
SRR10612065.53555	chr17	4186071	4200120
SRR10612065.53699	chr5	142252965	142273913
SRR10612065.53740	chr3	6971308	6971539
SRR10612065.53824	chr13	45954194	45954595
SRR10612065.53840	chr16	81729245	81729374
SRR10612065.53924	chr10	125805449	125805771
SRR10612065.54024	chr12	83289595	83290425
SRR10612065.54168	chr2	230356616	230359757
SRR10612065.54226	chr2	48573770	48573860
SRR10612065.54261	chr7	153826060	153826408
SRR10612065.54321	chr7	45621383	45621561
SRR10612065.54358	chr5	132228001	132228805
SRR10612065.54375	chr9	101151146	101151288
SRR10612065.54387	chr2	230356616	230359757
SRR10612065.54511	chr2	230356649	230356747
SRR10612065.54536	chr1	226555258	226555962
SRR10612065.54571	chr9	34979139	34979277
SRR10612065.54619	chr1	219384857	219391881
SRR10612065.54658	chr9	19511618	19511834
SRR10612065.54679	chr1	1594721	1660665
SRR10612065.54717	chr4	13571631	13578585
SRR10612065.54739	chr6	135752396	135754247
SRR10612065.54813	chr8	142264088	142264729
SRR10612065.54839	chr9	98760587	98760710
SRR10612065.54870	chr13	45955628	45955931
SRR10612065.55044	chr20	30309119	30309414
SRR10612065.55048	chr5	140347033	140347177
SRR10612065.55255	chr18	19140896	19144216
SRR10612065.55358	chr6	147429606	147429740
SRR10612065.55586	chr11	78764156	78764592
SRR10612065.55602	chr3	183898882	183899608
SRR10612065.55619	chr4	164448399	164448776
SRR10612065.55635	chr2	230356655	230356746
SRR10612065.56139	chr11	60701104	60701203
SRR10612065.56194	chr2	230356616	230359757
SRR10612065.56260	chr5	167919662	167921001
SRR10612065.56343	chr1	172526431	172526557
SRR10612065.56531	chr20	50234043	50235583
SRR10612065.56906	chr2	230356648	230356748
SRR10612065.56926	chr4	83581195	83581460
SRR10612065.57079	chr11	106810196	106810761
SRR10612065.57154	chr6	139264648	139265760
SRR10612065.57286	chr2	230356646	230356748
SRR10612065.57722	chr17	42189071	42189191
SRR10612065.57923	chr7	45621383	45621562
SRR10612065.57975	chr11	46641775	46641990
SRR10612065.58001	chr1	176258327	176258920
SRR10612065.58037	chr20	18858446	18916414
SRR10612065.58084	chr6	147395941	147440610
SRR10612065.58352	chr2	136505836	136528307
SRR10612065.58499	chr7	32613310	32613597
SRR10612065.58676	chr11	73850193	73850476
SRR10612065.58678	chr3	98487274	98491738
SRR10612065.58683	chr1	26595103	26596085
SRR10612065.58700	chr19	2043181	2046280
SRR10612065.58717	chr2	230356642	230356747
SRR10612065.58720	chr7	45621383	45621561
SRR10612065.58764	chr4	148778704	148800490
